epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.095,2.57724,6.19057,0.00961,0,0,0,0,1.63753,10.5611,0.00697,8.866e-05,8.866e-05,8.866e-05
2,325.162,2.47596,5.9284,0.00813,0,0,0,0,1.63361,10.5016,0.00693,0.000178396,0.000178396,0.000178396
3,492.036,2.38318,5.71593,0.00762,0.01389,0.00099,0.00104,0.00081,1.6334,10.2695,0.00681,0.00026632,0.00026632,0.00026632
4,662.052,2.35645,5.31775,0.00739,0.01904,0.10212,0.0319,0.01602,1.64589,9.72671,0.00677,0.000277506,0.000277506,0.000277506
5,832.731,2.31402,4.96208,0.00739,0.79115,0.04234,0.03486,0.01518,1.60749,9.40112,0.00694,0.000274674,0.000274674,0.000274674
6,1007.49,2.32689,4.73049,0.00731,0.8314,0.04627,0.04924,0.02226,1.6268,9.42684,0.00712,0.000271843,0.000271843,0.000271843
7,1183.47,2.29481,4.57932,0.00732,0.78559,0.06157,0.05611,0.02657,1.64668,9.15823,0.00713,0.000269012,0.000269012,0.000269012
8,1352.42,2.28717,4.29719,0.00694,0.8396,0.05261,0.07117,0.03628,1.64812,8.81626,0.00696,0.00026618,0.00026618,0.00026618
9,1518.97,2.28683,4.28084,0.00698,0.84059,0.04851,0.07041,0.03051,1.67297,8.64325,0.00713,0.000263349,0.000263349,0.000263349
10,1691.28,2.35534,4.07873,0.00664,0.80338,0.05636,0.06344,0.02707,1.6636,8.58536,0.00697,0.000260517,0.000260517,0.000260517
11,1860.58,2.30056,4.05054,0.00706,0.80827,0.06184,0.07165,0.03164,1.64429,8.56196,0.00678,0.000257686,0.000257686,0.000257686
12,2026.33,2.27992,3.9777,0.00689,0.77343,0.0632,0.07432,0.03139,1.65083,8.45909,0.00697,0.000254855,0.000254855,0.000254855
13,2194.19,2.28864,3.77319,0.00648,0.74027,0.06956,0.09281,0.04293,1.60761,8.22572,0.00695,0.000252023,0.000252023,0.000252023
14,2364.63,2.32302,3.95682,0.00693,0.79328,0.06759,0.1087,0.04931,1.6088,8.12503,0.0068,0.000249192,0.000249192,0.000249192
15,2530.42,2.23427,3.81213,0.00714,0.78926,0.07613,0.11497,0.05437,1.59612,7.97307,0.00664,0.00024636,0.00024636,0.00024636
16,2697.95,2.24366,3.73469,0.00692,0.67075,0.07779,0.116,0.05176,1.61589,7.91956,0.00671,0.000243529,0.000243529,0.000243529
17,2861.81,2.25965,3.6462,0.00699,0.67336,0.09281,0.11774,0.04633,1.62008,7.82658,0.00708,0.000240698,0.000240698,0.000240698
18,3027.91,2.22641,3.58086,0.00657,0.7075,0.0894,0.12342,0.04909,1.60629,7.81475,0.00696,0.000237866,0.000237866,0.000237866
19,3205.64,2.24506,3.48826,0.00632,0.67861,0.08817,0.13116,0.06249,1.56565,7.7231,0.00663,0.000235035,0.000235035,0.000235035
20,3391.51,2.24514,3.55389,0.00653,0.5615,0.11512,0.13799,0.06552,1.58564,7.63755,0.00672,0.000232203,0.000232203,0.000232203
21,3565.17,2.23904,3.45219,0.00647,0.51912,0.13548,0.15246,0.07489,1.60582,7.59481,0.00694,0.000229372,0.000229372,0.000229372
22,3732.73,2.18845,3.44983,0.00651,0.58198,0.13411,0.15851,0.07934,1.58306,7.49344,0.00675,0.000226541,0.000226541,0.000226541
23,3898.78,2.22234,3.40777,0.00641,0.58738,0.16511,0.16044,0.06843,1.57926,7.44166,0.00663,0.000223709,0.000223709,0.000223709
24,4072.57,2.21789,3.4845,0.00662,0.58505,0.12616,0.15054,0.07215,1.5525,7.34223,0.00653,0.000220878,0.000220878,0.000220878
25,4277.12,2.12426,3.40829,0.00651,0.58035,0.13199,0.14717,0.07477,1.52582,7.27652,0.00628,0.000218046,0.000218046,0.000218046
26,4444.9,2.19602,3.28094,0.00652,0.55954,0.12671,0.14984,0.07286,1.55051,7.30799,0.00643,0.000215215,0.000215215,0.000215215
27,80293.6,2.16122,3.31022,0.00657,0.52057,0.12189,0.16735,0.08532,1.53235,7.33349,0.00646,0.000212384,0.000212384,0.000212384
28,80549.5,2.17525,3.37008,0.00633,0.50041,0.13668,0.17374,0.09037,1.53273,7.24307,0.00636,0.000209552,0.000209552,0.000209552
29,80777.9,2.14248,3.21581,0.00627,0.48563,0.14323,0.17281,0.08545,1.5752,7.08545,0.0065,0.000206721,0.000206721,0.000206721
30,80937.4,2.17745,3.15555,0.00643,0.51557,0.11445,0.17566,0.09173,1.51083,6.92748,0.00628,0.000203889,0.000203889,0.000203889
31,81065.6,2.16674,3.15196,0.00649,0.36854,0.16122,0.17477,0.09079,1.53167,6.85673,0.00651,0.000201058,0.000201058,0.000201058
32,81194.7,2.14409,3.1845,0.00636,0.40947,0.14931,0.17987,0.08983,1.5657,6.88334,0.0066,0.000198227,0.000198227,0.000198227
33,81358.5,2.12566,3.07052,0.00604,0.39226,0.16525,0.17652,0.08971,1.55165,6.74604,0.00646,0.000195395,0.000195395,0.000195395
34,81521.3,2.12989,3.20892,0.00666,0.3908,0.16814,0.16437,0.0814,1.59033,6.70156,0.00669,0.000192564,0.000192564,0.000192564
35,81685.3,2.14546,3.18423,0.00666,0.38801,0.16918,0.16561,0.08109,1.60386,6.68498,0.00681,0.000189732,0.000189732,0.000189732
36,81848.5,2.13646,3.04189,0.00597,0.45946,0.16467,0.21224,0.10405,1.55915,6.62429,0.00661,0.000186901,0.000186901,0.000186901
37,82010.7,2.13321,3.12974,0.00617,0.36735,0.19324,0.18088,0.08492,1.57722,6.51805,0.00659,0.00018407,0.00018407,0.00018407
38,82175.3,2.15061,3.09454,0.00648,0.38129,0.19368,0.19638,0.09429,1.57001,6.41078,0.00663,0.000181238,0.000181238,0.000181238
